iter	Passed	Remaining
0	136	13560
1	138	6784
2	139	4512
3	140	3372
4	141	2688
5	142	2230
6	143	1902
7	144	1658
8	144	1465
9	145	1313
10	146	1187
11	147	1083
12	149	999
13	149	921
14	151	856
15	152	798
16	152	746
17	153	699
18	154	658
19	155	621
20	156	587
21	156	556
22	157	528
23	158	501
24	159	478
25	160	456
26	161	435
27	162	416
28	163	399
29	164	382
30	165	367
31	166	353
32	167	339
33	168	326
34	168	313
35	169	301
36	170	290
37	171	279
38	172	269
39	173	260
40	174	251
41	175	242
42	176	233
43	177	225
44	177	217
45	178	209
46	179	202
47	179	194
48	180	188
49	181	181
50	182	175
51	182	168
52	183	163
53	185	157
54	186	152
55	187	147
56	187	141
57	188	136
58	189	131
59	189	126
60	190	121
61	191	117
62	191	112
63	192	108
64	193	104
65	194	100
66	195	96
67	196	92
68	197	88
69	198	85
70	199	81
71	199	77
72	200	74
73	201	70
74	201	67
75	202	63
76	203	60
77	203	57
78	204	54
79	205	51
80	206	48
81	207	45
82	208	42
83	209	39
84	210	37
85	210	34
86	211	31
87	212	28
88	212	26
89	213	23
90	214	21
91	214	18
92	215	16
93	216	13
94	216	11
95	217	9
96	218	6
97	219	4
98	219	2
99	221	0
